CMDLINE C:\Users\papkp\AppData\Local\Programs\Python\Python311\python.exe profilerscript.py
MEM 1.972656 1733139103.3918
MEM 15.832031 1733139103.4927
MEM 23.625000 1733139103.5932
MEM 74.226562 1733139103.6938
MEM 147.070312 1733139103.7944
MEM 31.175781 1733139103.8949
MEM 36.230469 1733139103.9952
MEM 38.257812 1733139104.0955
MEM 44.554688 1733139104.1959
MEM 46.015625 1733139104.2963
MEM 46.054688 1733139104.3966
MEM 49.687500 1733139104.4972
MEM 50.210938 1733139104.5975
MEM 50.816406 1733139104.6981
MEM 51.875000 1733139104.7988
MEM 52.824219 1733139104.8990
MEM 53.523438 1733139104.9996
MEM 54.218750 1733139105.1000
MEM 56.328125 1733139105.2003
MEM 56.328125 1733139105.3005
MEM 56.328125 1733139105.4007
MEM 56.328125 1733139105.5010
MEM 56.328125 1733139105.6015
MEM 56.386719 1733139105.7020
MEM 56.386719 1733139105.8024
MEM 56.386719 1733139105.9029
MEM 56.386719 1733139106.0033
MEM 56.386719 1733139106.1035
MEM 56.386719 1733139106.2038
MEM 56.386719 1733139106.3041
MEM 56.386719 1733139106.4048
MEM 56.386719 1733139106.5051
MEM 56.390625 1733139106.6057
MEM 56.390625 1733139106.7062
MEM 56.390625 1733139106.8066
MEM 56.390625 1733139106.9069
MEM 61.714844 1733139107.0074
MEM 85.796875 1733139107.1081
MEM 96.734375 1733139107.2083
MEM 96.734375 1733139107.3090
MEM 97.296875 1733139107.4096
MEM 98.554688 1733139107.5102
MEM 98.554688 1733139107.6107
MEM 98.554688 1733139107.7114
MEM 98.554688 1733139107.8115
MEM 99.804688 1733139107.9121
MEM 99.804688 1733139108.0127
MEM 99.804688 1733139108.1129
MEM 99.832031 1733139108.2132
MEM 100.503906 1733139108.3135
MEM 100.503906 1733139108.4137
MEM 103.003906 1733139108.5139
MEM 103.128906 1733139108.6146
MEM 104.003906 1733139108.7148
MEM 105.128906 1733139108.8151
MEM 106.191406 1733139108.9153
MEM 107.183594 1733139109.0156
MEM 108.269531 1733139109.1163
MEM 109.359375 1733139109.2166
MEM 110.445312 1733139109.3168
MEM 111.511719 1733139109.4173
MEM 112.589844 1733139109.5176
MEM 113.691406 1733139109.6179
MEM 119.699219 1733139109.7182
MEM 120.800781 1733139109.8184
MEM 121.816406 1733139109.9190
MEM 122.941406 1733139110.0196
MEM 124.003906 1733139110.1201
MEM 125.054688 1733139110.2207
MEM 126.191406 1733139110.3212
MEM 127.132812 1733139110.4214
MEM 128.011719 1733139110.5221
MEM 129.003906 1733139110.6226
MEM 129.941406 1733139110.7232
MEM 130.917969 1733139110.8233
MEM 131.898438 1733139110.9235
MEM 132.941406 1733139111.0241
MEM 133.808594 1733139111.1246
MEM 134.816406 1733139111.2252
MEM 135.753906 1733139111.3258
MEM 136.816406 1733139111.4264
MEM 137.628906 1733139111.5269
MEM 138.058594 1733139111.6272
MEM 139.015625 1733139111.7278
MEM 139.828125 1733139111.8284
MEM 140.878906 1733139111.9289
MEM 141.867188 1733139112.0294
MEM 142.824219 1733139112.1301
MEM 143.800781 1733139112.2303
MEM 144.847656 1733139112.3305
MEM 145.878906 1733139112.4308
MEM 156.816406 1733139112.5313
MEM 157.441406 1733139112.6319
MEM 158.019531 1733139112.7324
MEM 158.878906 1733139112.8330
MEM 159.503906 1733139112.9333
MEM 159.953125 1733139113.0338
MEM 160.765625 1733139113.1343
MEM 161.542969 1733139113.2348
MEM 162.582031 1733139113.3353
MEM 163.597656 1733139113.4360
MEM 164.195312 1733139113.5365
MEM 164.195312 1733139113.6369
MEM 164.195312 1733139113.7376
MEM 164.195312 1733139113.8379
MEM 164.195312 1733139113.9381
MEM 164.203125 1733139114.0388
MEM 48.613281 1733139114.1393
